piction ID,filename,event ID,permissions,iso 8601,day,month,year,recording location,pfa series,event title,event notes,technical/recording notes,tape number,tape side,speakers 1,speakers 2,speakers 3,speakers 4,speakers 5,speakers 6,speakers 7,speakers 8,speakers 9,speakers 10,speakers 11,speakers 12,film titles 1,film titles 2,film titles 3,film titles 4,film titles 5,film titles 6,film titles 7,film titles 8,film titles 9,film titles 10,film titles 11,film titles 12,film titles 13,film titles 14,film titles 15,film titles 16,film titles 17,film titles 18,Born-digital status,digitizer,file size
11878613,20110309_Imagesof-Nature_Canadian-Artists-At-Work_Lauren-Howes.WAV,02365,1,2011-03-09T00:00:00Z,09,03,2011,,Images of Nature,Canadian Artists At Work,,,,,Lauren Howes,,,,,,,,,,,,Canadian Artists At Work,,,,,,,,,,,,,,,,,,Born-digital,,143506988
11878622,20110310_Film-and-Videomakers-At-Cal_Strangers-And-Friends_Shaleece-Haas_Rodrigo-Ojeda-Beck.WAV,02366,3,2011-03-10T00:00:00Z,10,03,2011,,Film And Video Makers At Cal,Film And Video Makers At Cal,,,,,Shaleece Haas,Rodrigo Ojeda Beck,,,,,,,,,,,Strangers And Friends,,,,,,,,,,,,,,,,,,Born-digital,,275231276
11878631,20110312_Living-in-Seduced-Circumstances_Ian-Gamazon.WAV,02367,2,2011-03-12T00:00:00Z,12,03,2011,,Living in Seduced Circumstances,,,,,,Ian Gamazon,,,,,,,,,,,,Living in Seduced Circumstances,,,,,,,,,,,,,,,,,,Born-digital,,102514220
11878640,20110312_Summer-Pasture_Lynn-True_Nelson-Walker.WAV,02368,3,2011-03-12T00:00:00Z,12,03,2011,,Summer Pasture,Summer Pasture,,,,,Lynn True,Nelson Walker,,,,,,,,,,,Summer Pasture,,,,,,,,,,,,,,,,,,Born-digital,,219981356
11878649,20110313_Anna-May-Wong_In-Her-Own-Words_Slaying-the-Dragon_Yunah-Hong_Elaine-Kim.WAV,02369,3,2011-03-13T00:00:00Z,13,03,2011,,Anna May Wong,Anna May Wong; Slaying the dragon,,,,,Yunah Hong,Elaine Kim,,,,,,,,,,,Anna May Wong,SLAYING THE DRAGON,,,,,,,,,,,,,,,,,Born-digital,,188440576
11878658,20110313_Charlie-Chan-at-the-Olympics_Stephen-Gong_Yunte-Huang.WAV,02370,1,2011-03-13T00:00:00Z,13,03,2011,,Charlie Chan at the Olympics,Charlie Chan at the Olympics,,,,,Stephen Gong,Yunte Huang,,,,,,,,,,,Charlie Chan at the Olympics,,,,,,,,,,,,,,,,,,Born-digital,,206535212
11878667,20110316_MF-Remix_Jy-Ah-Min.WAV,02371,1,2011-03-16T00:00:00Z,16,03,2011,,MF Remix,MF Remix,,,,,Jy Ah Min,,,,,,,,,,,,MF Remix,,,,,,,,,,,,,,,,,,Born-digital,,176378156
11878676,20110318_Taqwacores_Eyad-Zahra.WAV,02372,1,2011-03-18T00:00:00Z,18,03,2011,,Taqwacores,Taqwacores,,,,,Eyad Zahra,,,,,,,,,,,,Taqwacores,,,,,,,,,,,,,,,,,,Born-digital,,148686380
11878685,20110320_Radical-Light_Experimental-Animation_Karl-Cohen.WAV,02373,1,2011-03-20T00:00:00Z,20,03,2011,,Radical Light,Experimental Animation,,,,,Karl F. Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,216304172
11878694,20110331_I-Am-Legend_Behind-the-Scenes-Art-Direction_Patricia-Woodbridge.WAV,02374,1,2011-03-31T00:00:00Z,31,03,2011,,Behind the scenes,I am legend behind the scenes art direction,,,,,Patricia Woodbridge,,,,,,,,,,,,I am Legend,,,,,,,,,,,,,,,,,,Born-digital,,498087980
